@relation winequality-red-weka.filters.unsupervised.instance.RemovePercentage-P34.0-V_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A12-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute class {3,4,5,6,7,8}

@data
0.074919,0.244097,-0.038868,-0.020891,-0.000135,0.030567,-0.022982,0.005723,0.023617,0.0473,-0.082551,5
0.037419,0.197475,-0.042015,-0.033569,-0.024833,-0.010072,-0.014899,-0.018913,0.102037,0.068023,-0.081946,5
0.072651,0.176576,-0.032634,-0.053074,-0.020668,0.015688,-0.026881,0.004779,0.089765,0.065525,-0.107409,6
0.071834,0.178067,-0.032377,-0.052062,-0.021128,0.014128,-0.025051,0.008393,0.089228,0.059621,-0.10903,6
0.108392,0.202197,-0.033526,0.009187,-0.022381,0.033587,-0.003001,0.00499,0.064887,0.089922,-0.071481,5
0.09063,0.191123,-0.062901,-0.026747,-0.021939,0.048665,0.007683,-0.00507,0.104296,0.114838,-0.097689,6
0.093097,0.177522,-0.01812,-0.0476,-0.022534,0.04178,-0.019418,-0.015104,0.110124,0.103714,-0.091733,5
0.019736,0.193032,-0.016463,-0.018301,-0.030458,-0.00442,-0.003839,-0.004259,0.073933,0.10486,-0.100732,5
0.094155,0.174972,-0.0413,-0.035317,0.011993,0.05788,-0.009103,-0.004077,0.122822,0.132538,-0.047837,5
0.107445,0.207689,-0.03079,-0.042645,-0.031449,0.008163,-0.039045,-0.013642,0.08677,0.093988,-0.086598,5
0.088311,0.196613,-0.019224,-0.033975,-0.024798,0.008017,-0.029133,0.004961,0.045937,0.075965,-0.098161,6
0.095148,0.179295,-0.022537,-0.036985,-0.042672,0.00445,-0.045025,0.003341,0.051542,0.095764,-0.063029,5
0.074482,0.239617,-0.060374,-0.012493,0.003265,-0.01316,-0.011738,-0.037089,0.05195,0.09317,-0.05511,5
0.087186,0.192168,-0.032927,-0.049153,-0.032524,0.013912,-0.027731,-0.004709,0.080253,0.075967,-0.090576,7
0.100882,0.210826,-0.040508,-0.041155,-0.019184,0.004293,-0.026635,-0.0278,0.09822,0.079023,-0.096926,5
0.108094,0.209294,-0.003405,-0.052855,-0.013673,-0.00316,-0.01265,-0.02472,0.106115,0.116584,-0.15413,5
0.108094,0.209294,-0.003405,-0.052855,-0.013673,-0.00316,-0.01265,-0.02472,0.106115,0.116584,-0.15413,5
0.103053,0.195073,-0.032627,-0.046344,-0.040646,0.013189,-0.03128,-0.004707,0.080895,0.068576,-0.093668,5
0.088254,0.229809,-0.04379,-0.066031,-0.026747,0.001374,-0.041672,-0.028168,0.100564,0.091684,-0.116915,5
0.078952,0.21212,-0.057713,-0.023219,-0.039459,0.006174,-0.041013,0.012375,0.067613,0.130147,-0.06828,5
0.076971,0.19156,-0.062879,-0.051825,-0.019087,-0.029793,-0.030519,0.007421,0.140584,0.080221,-0.092077,6
0.078037,0.186403,-0.037321,-0.04533,-0.036299,0.024434,-0.024281,-0.023024,0.098397,0.085297,-0.097869,6
0.115811,0.213467,-0.040379,-0.005144,-0.018735,-0.002211,-0.01086,-0.030046,0.066872,0.082482,-0.091466,5
0.111205,0.212707,-0.044938,-0.004679,-0.019945,-0.000266,-0.012849,-0.033751,0.07014,0.084053,-0.090641,5
0.076457,0.201753,-0.02682,-0.036214,-0.030042,0.001658,-0.025509,-0.034957,0.075844,0.086875,-0.084124,4
0.089373,0.192594,-0.039166,-0.022846,-0.036683,0.008119,-0.030156,0.018188,0.062892,0.108073,-0.043113,5
0.10285,0.235458,-0.017135,-0.056827,-0.04106,-0.02961,-0.065399,-0.00671,0.027958,0.122194,-0.072452,5
0.10285,0.235458,-0.017135,-0.056827,-0.04106,-0.02961,-0.065399,-0.00671,0.027958,0.122194,-0.072452,5
0.124087,0.210901,-0.040276,-0.068445,-0.027722,-0.00166,-0.034503,-0.032332,0.105533,0.110384,-0.114354,6
0.115016,0.231726,-0.045658,-0.024134,-0.009768,-0.007431,-0.018822,-0.032841,0.082881,0.080723,-0.105275,5
0.073652,0.198675,-0.082079,-0.006138,0.003868,-0.009433,-0.014586,0.017223,0.124274,0.052481,-0.023556,4
0.057818,0.201771,-0.026399,-0.057315,-0.020747,0.018371,-0.03612,-0.004582,0.054379,0.060407,-0.103117,5
0.117803,0.201235,-0.095506,-0.148746,-0.019792,-0.018277,0.103515,0.004836,0.007181,0.132509,-0.034359,5
0.069423,0.212618,-0.036841,-0.031385,-0.015997,0.014762,-0.038359,-0.024353,0.034017,0.100908,-0.064896,5
0.128222,0.188063,-0.089549,-0.136014,-0.020972,-0.014267,0.097061,-0.008028,0.066339,0.100624,-0.062797,5
0.066257,0.234938,-0.050503,-0.048156,-0.006939,0.012367,-0.056375,0.015935,0.040342,0.098119,-0.074876,6
0.088495,0.200885,-0.043145,-0.048898,-0.024589,0.022482,-0.035766,-0.010931,0.08529,0.100253,-0.099224,5
0.035511,0.221209,-0.121316,-0.015544,0.049394,-0.055457,0.01039,0.095391,0.181862,0.01493,0.015075,6
0.074212,0.196478,-0.031494,-0.041092,-0.029032,0.001016,-0.039884,-0.001508,0.07216,0.07876,-0.090275,5
0.079316,0.195594,-0.07964,-0.010236,-0.005853,-0.004971,-0.011202,0.042472,0.103418,0.079876,-0.011183,5
0.086833,0.194213,-0.016386,-0.063829,-0.032384,0.015936,-0.04385,-0.02192,0.076643,0.065284,-0.085617,5
0.116616,0.206944,-0.063912,0.01216,-0.023113,0.046987,-0.012625,-0.018066,0.074713,0.101158,-0.060941,5
0.035511,0.221209,-0.121316,-0.015544,0.049394,-0.055457,0.01039,0.095391,0.181862,0.01493,0.015075,6
0.030344,0.2176,-0.120517,-0.01675,0.052571,-0.05934,0.010089,0.09787,0.1817,0.013428,0.017095,5
0.074212,0.196478,-0.031494,-0.041092,-0.029032,0.001016,-0.039884,-0.001508,0.07216,0.07876,-0.090275,5
0.125805,0.193314,-0.092853,-0.029731,0.000779,-0.010114,-0.086719,-0.070592,0.080805,0.158753,-0.090725,4
0.199415,0.26887,-0.065192,-0.027905,0.002822,-0.04989,-0.072583,0.006056,0.060572,0.126573,-0.13782,6
0.111358,0.215332,-0.031074,-0.066233,-0.018266,-0.004799,-0.023078,-0.026722,0.111334,0.101725,-0.124462,5
0.038491,0.209658,-0.029004,-0.046193,-0.013642,0.015501,-0.021713,-0.007888,0.07231,0.061158,-0.09663,5
0.076157,0.195067,-0.033468,-0.053369,-0.018832,-0.020898,-0.030634,-0.046393,0.110541,0.096652,-0.109782,5
0.072989,0.181998,-0.029886,-0.040115,-0.035748,0.019087,-0.021984,-0.012386,0.082377,0.07291,-0.08322,6
0.103081,0.216403,-0.034179,-0.037318,-0.032339,-0.015492,-0.035071,-0.018051,0.076316,0.098512,-0.091224,6
0.07272,0.216052,-0.038883,-0.041933,-0.034727,0.006099,-0.027315,-0.012738,0.074615,0.098717,-0.11396,6
0.072989,0.181998,-0.029886,-0.040115,-0.035748,0.019087,-0.021984,-0.012386,0.082377,0.07291,-0.08322,6
0.093803,0.198396,-0.028654,-0.016441,-0.028605,0.006617,-0.013662,-0.017362,0.072059,0.071042,-0.091538,5
0.074624,0.205131,-0.021244,-0.03322,-0.0238,0.011986,-0.020754,-0.011071,0.059428,0.069957,-0.109487,5
0.093803,0.198396,-0.028654,-0.016441,-0.028605,0.006617,-0.013662,-0.017362,0.072059,0.071042,-0.091538,5
0.115337,0.205513,-0.095904,-0.145853,-0.018737,-0.019747,0.112825,0.010636,0.010033,0.116096,-0.035591,5
0.067518,0.221656,-0.049143,-0.055232,0.004221,-0.007395,-0.050772,-0.016639,0.059648,0.08125,-0.057961,5
0.083283,0.216725,-0.032537,-0.033823,-0.014234,-0.001754,-0.037253,0.017711,0.042841,0.090208,-0.055357,6
0.094934,0.232108,-0.076811,0.007117,0.005791,-0.008283,-0.011765,-0.052267,0.054226,0.122252,-0.036734,5
0.0581,0.195574,-0.060602,-0.043173,-0.011815,-0.001885,-0.005427,0.010067,0.107751,0.064033,-0.072604,5
0.121646,0.22095,-0.043845,0.008919,-0.017212,-0.00567,0.016215,0.00104,0.110948,0.044144,-0.093996,5
0.12206,0.218765,-0.046017,0.009114,-0.018329,-0.00003,0.015354,0.001847,0.10955,0.048686,-0.09117,5
0.093316,0.182653,-0.022507,-0.034824,-0.061322,0.018268,-0.03652,0.012389,0.070336,0.105951,-0.063203,6
0.0581,0.195574,-0.060602,-0.043173,-0.011815,-0.001885,-0.005427,0.010067,0.107751,0.064033,-0.072604,5
0.089512,0.221257,-0.041991,-0.010998,-0.043639,0.018379,0.010954,0.006878,0.097904,0.083652,-0.105201,6
0.0933,0.215186,-0.028038,-0.046167,-0.039416,0.001472,-0.040183,-0.012828,0.077926,0.089966,-0.085494,6
0.094109,0.191869,-0.020247,-0.045146,-0.04014,0.01252,-0.0219,-0.014064,0.080303,0.070058,-0.103062,6
0.136775,0.206389,-0.047476,-0.029001,-0.050765,0.011773,0.017568,0.00192,0.121533,0.085905,-0.122411,6
0.112247,0.194777,-0.051509,-0.01928,-0.01742,0.014672,-0.009387,-0.026354,0.081214,0.075972,-0.085682,6
0.125411,0.208669,-0.05931,-0.033138,-0.005928,-0.039833,0.023316,-0.070043,0.081274,0.078789,-0.088417,5
0.136775,0.206389,-0.047476,-0.029001,-0.050765,0.011773,0.017568,0.00192,0.121533,0.085905,-0.122411,6
0.095795,0.188994,-0.005526,-0.06516,-0.030657,0.002614,-0.038345,-0.021335,0.094206,0.064707,-0.098703,5
0.11379,0.180554,-0.018742,-0.046346,-0.035837,0.001195,-0.027473,-0.01984,0.104926,0.078981,-0.098386,5
0.141885,0.196291,-0.040964,-0.002174,-0.037246,0.011393,-0.014697,-0.005649,0.062241,0.071254,-0.089609,5
0.126475,0.192872,-0.05007,-0.034734,-0.045248,0.034787,0.0195,-0.010732,0.119955,0.073071,-0.064547,5
0.116163,0.213636,-0.056879,-0.048112,-0.027234,-0.078514,-0.048753,-0.09731,0.131726,0.132333,-0.123356,5
0.117024,0.214136,-0.05514,-0.049321,-0.025852,-0.077941,-0.04907,-0.097732,0.129974,0.133399,-0.124367,5
0.082192,0.195874,-0.051359,-0.05113,-0.023338,-0.039406,-0.042294,0.017452,0.11399,0.0762,-0.093646,7
0.07065,0.195198,-0.027399,-0.056737,-0.023477,0.027196,-0.031095,0.008736,0.059276,0.060527,-0.108174,5
0.088165,0.23652,-0.067723,-0.000593,0.003351,-0.014518,-0.016642,-0.050278,0.044103,0.12001,-0.047065,5
0.181932,0.270296,-0.064251,-0.020783,-0.009875,-0.019901,-0.050226,0.020374,0.094071,0.109319,-0.142295,5
0.181932,0.270296,-0.064251,-0.020783,-0.009875,-0.019901,-0.050226,0.020374,0.094071,0.109319,-0.142295,5
0.083623,0.180542,-0.049098,-0.046592,-0.03347,0.034001,-0.032933,-0.000404,0.094569,0.078001,-0.107555,6
0.062788,0.199375,-0.059936,-0.032894,-0.013528,-0.014088,-0.012143,-0.068598,0.128962,0.110611,-0.109563,6
0.077952,0.192257,-0.063319,-0.022901,-0.015741,-0.011119,-0.005337,-0.012983,0.124813,0.074829,-0.076806,5
0.076004,0.198915,-0.051517,-0.030147,-0.01921,-0.014568,-0.011048,-0.014802,0.110463,0.06877,-0.08041,5
0.081249,0.198582,-0.024327,-0.051551,-0.02447,0.007062,-0.048144,0.000508,0.041543,0.082515,-0.072351,5
0.129831,0.209664,-0.036034,0.001368,-0.021186,-0.003103,-0.007588,-0.005897,0.070148,0.062241,-0.090203,5
0.129107,0.21012,-0.03922,0.002283,-0.022019,0.001024,-0.007757,-0.007378,0.071025,0.064116,-0.087829,5
0.077952,0.192257,-0.063319,-0.022901,-0.015741,-0.011119,-0.005337,-0.012983,0.124813,0.074829,-0.076806,5
0.076004,0.198915,-0.051517,-0.030147,-0.01921,-0.014568,-0.011048,-0.014802,0.110463,0.06877,-0.08041,5
0.177966,0.236388,-0.099009,-0.040365,-0.024529,-0.003229,-0.057276,0.051431,0.115628,0.137984,-0.15823,6
0.068165,0.197446,-0.028337,-0.049044,-0.024418,0.029485,-0.019791,0.01235,0.075002,0.045064,-0.11363,5
0.177966,0.236388,-0.099009,-0.040365,-0.024529,-0.003229,-0.057276,0.051431,0.115628,0.137984,-0.15823,6
0.088148,0.241488,-0.068171,0.005292,-0.003299,0.004237,-0.007995,-0.046406,0.044819,0.113444,-0.048828,5
0.146127,0.201064,-0.057717,-0.020973,-0.010393,-0.002839,-0.025701,-0.016339,0.071794,0.08363,-0.106125,5
0.118263,0.22276,-0.055008,-0.057617,-0.023793,0.009402,0.059467,0.000788,0.061792,0.053417,-0.078801,5
0.096613,0.19921,-0.033597,-0.050115,-0.028682,0.018183,-0.029785,0.002373,0.087195,0.084836,-0.112577,6
0.116204,0.214984,-0.016006,-0.050187,-0.036007,-0.014999,-0.048725,0.00545,0.046696,0.112709,-0.092974,6
0.052956,0.225704,-0.027071,-0.052124,-0.030629,0.015533,-0.034069,-0.004269,0.039782,0.102741,-0.115407,6
0.050907,0.207313,-0.134624,-0.198236,0.020052,-0.036164,0.161425,0.01829,0.045985,0.171348,0.029649,4
0.147957,0.191444,-0.06051,-0.005201,-0.031627,0.011851,-0.001135,-0.006668,0.093426,0.0834,-0.103998,5
0.147957,0.191444,-0.06051,-0.005201,-0.031627,0.011851,-0.001135,-0.006668,0.093426,0.0834,-0.103998,5
0.119547,0.232127,-0.01569,-0.009544,0.027738,0.001244,-0.031594,0.022589,0.067939,0.11889,-0.075412,5
0.120312,0.233125,-0.014254,-0.009801,0.02724,0.000465,-0.03063,0.022126,0.066832,0.117684,-0.077107,5
0.119547,0.232127,-0.01569,-0.009544,0.027738,0.001244,-0.031594,0.022589,0.067939,0.11889,-0.075412,5
0.120312,0.233125,-0.014254,-0.009801,0.02724,0.000465,-0.03063,0.022126,0.066832,0.117684,-0.077107,5
0.096449,0.177376,-0.02396,-0.055529,-0.032289,0.013468,-0.037428,-0.023488,0.091958,0.080238,-0.100111,5
0.133433,0.198457,-0.032325,-0.031786,-0.019414,-0.00818,-0.047418,-0.011774,0.053534,0.07701,-0.073968,6
0.056334,0.19955,-0.052305,-0.040171,-0.014998,-0.00718,-0.004961,-0.057102,0.121925,0.088472,-0.1121,5
0.024827,0.180789,-0.071357,-0.053094,-0.005833,-0.004848,-0.019361,0.010732,0.147033,0.045314,-0.063345,4
0.096847,0.187979,-0.042187,-0.043958,-0.046826,0.031743,-0.021817,-0.006612,0.104838,0.083985,-0.104709,6
0.112084,0.189788,0.013246,-0.005274,0.033412,0.02782,-0.015174,-0.004283,0.083974,0.131797,-0.081062,5
0.111777,0.191976,0.012857,-0.005434,0.03365,0.027744,-0.01478,-0.003276,0.082076,0.128594,-0.08209,5
0.07206,0.238902,-0.054335,-0.00659,-0.005263,-0.011966,-0.008474,-0.033273,0.048992,0.087846,-0.076533,5
0.12926,0.229746,-0.048413,-0.011649,-0.013161,0.009097,-0.00951,-0.017493,0.085083,0.076692,-0.104114,5
0.095492,0.163777,-0.039001,-0.029698,-0.038622,0.028101,-0.018735,-0.011571,0.081302,0.069927,-0.100876,4
0.121073,0.202905,-0.042915,-0.042721,-0.025729,-0.005259,-0.024677,-0.01173,0.085673,0.08984,-0.119237,6
0.081333,0.189075,-0.119932,-0.117478,0.013269,-0.040978,0.094208,0.025192,0.117518,0.074892,-0.035925,5
0.073204,0.191601,-0.01946,-0.042472,-0.03854,0.002971,-0.032745,-0.064802,0.097023,0.08151,-0.111517,4
0.067583,0.187341,-0.019204,-0.047893,-0.039321,0.02389,-0.020695,0.006294,0.083153,0.058552,-0.094163,6
0.067583,0.187341,-0.019204,-0.047893,-0.039321,0.02389,-0.020695,0.006294,0.083153,0.058552,-0.094163,6
0.118515,0.221358,-0.058296,-0.048313,-0.041813,0.024463,-0.041328,-0.016968,0.119421,0.123129,-0.115152,6
0.087118,0.200992,-0.020089,-0.038327,-0.036773,0.027518,-0.015377,0.001077,0.058396,0.066074,-0.111428,5
0.086333,0.179673,-0.05807,-0.045406,-0.023563,0.022403,-0.021578,0.012973,0.100877,0.065161,-0.081994,5
0.087118,0.200992,-0.020089,-0.038327,-0.036773,0.027518,-0.015377,0.001077,0.058396,0.066074,-0.111428,5
0.108388,0.22663,-0.023939,-0.058033,-0.027825,-0.025668,-0.059137,-0.011278,0.044405,0.112051,-0.092876,6
0.090118,0.191597,-0.025755,-0.055952,-0.018036,-0.009164,-0.040554,-0.030915,0.104098,0.082222,-0.103372,5
0.076778,0.190176,-0.030953,-0.019504,-0.03243,0.007495,-0.006912,-0.011599,0.108237,0.071869,-0.098672,5
0.076778,0.190176,-0.030953,-0.019504,-0.03243,0.007495,-0.006912,-0.011599,0.108237,0.071869,-0.098672,5
0.119088,0.20216,-0.079639,-0.051128,-0.015174,-0.027939,0.055683,-0.006898,0.057265,0.100403,-0.042798,5
0.098369,0.185432,-0.026891,-0.047158,-0.023581,0.013257,-0.033219,-0.02867,0.09672,0.084652,-0.091742,5
0.110833,0.209282,-0.027134,-0.042366,-0.01881,-0.008456,-0.047415,-0.016126,0.05662,0.070641,-0.0783,5
0.105357,0.21398,-0.025122,-0.043038,-0.014638,-0.011812,-0.04379,-0.017197,0.055642,0.067581,-0.082183,6
0.098029,0.210869,-0.038124,-0.018012,-0.044615,0.026675,-0.015326,-0.007561,0.02931,0.114899,-0.073014,5
0.07029,0.22443,-0.024212,-0.033311,-0.020517,0.019009,-0.034339,-0.011416,0.028785,0.083705,-0.073431,5
0.092438,0.202884,-0.018215,-0.053683,-0.030811,0.008128,-0.028261,-0.031767,0.093948,0.089112,-0.103149,5
0.124442,0.2496,-0.035478,0.018629,-0.011134,0.003891,0.003271,-0.006877,0.057456,0.049546,-0.077157,5
0.124652,0.247657,-0.037828,0.018734,-0.013272,0.008792,0.001758,-0.006416,0.059002,0.050827,-0.07527,5
0.108076,0.229653,-0.028766,0.006151,-0.006892,0.009512,-0.009594,-0.002611,0.068357,0.070837,-0.065537,5
0.099293,0.21014,-0.028356,-0.066239,-0.029224,0.033494,-0.063074,0.005044,0.052556,0.09189,-0.073893,6
0.126097,0.230225,-0.022859,-0.006971,0.015255,0.005171,0.008273,-0.002512,0.086961,0.057517,-0.087506,5
0.066423,0.20739,-0.029086,-0.039151,-0.02598,0.01286,-0.020809,-0.014662,0.082142,0.078678,-0.106252,5
0.066423,0.20739,-0.029086,-0.039151,-0.02598,0.01286,-0.020809,-0.014662,0.082142,0.078678,-0.106252,5
0.101135,0.228775,-0.0453,0.004774,-0.012722,0.014126,-0.01712,-0.025174,0.063465,0.082174,-0.069628,5
0.097462,0.220365,-0.03379,-0.041504,-0.019261,-0.003584,-0.045822,-0.016819,0.066966,0.104643,-0.090971,5
0.045947,0.185247,-0.044574,-0.019916,-0.053688,-0.021691,-0.025949,0.031325,0.09458,0.099705,-0.059931,6
0.145561,0.273385,-0.107532,-0.015774,0.013257,-0.067997,-0.054775,-0.00714,0.119595,0.111685,-0.131427,7
0.109688,0.227557,-0.06285,-0.036998,-0.014783,-0.040918,-0.049475,-0.076351,0.112847,0.142532,-0.137163,4
0.054298,0.205172,-0.045947,-0.030163,-0.047979,-0.00606,-0.036132,0.020412,0.082481,0.08889,-0.081071,7
0.067187,0.21506,-0.077402,0.0054,-0.001259,0.027128,-0.00322,0.023706,0.088421,0.082589,-0.016882,5
0.077603,0.184538,-0.058186,-0.039929,-0.016627,0.010403,-0.027026,0.012568,0.091222,0.065311,-0.082924,5
0.060317,0.199228,-0.038584,-0.045967,-0.027568,0.030152,-0.030106,-0.013344,0.042912,0.089441,-0.086233,5
0.058441,0.201963,-0.037401,-0.047238,-0.026082,0.025608,-0.030167,-0.013882,0.042163,0.087457,-0.086529,6
0.093696,0.201405,-0.019094,-0.022553,-0.078878,-0.038127,-0.025193,0.016321,0.071382,0.130078,-0.075098,7
0.093696,0.201405,-0.019094,-0.022553,-0.078878,-0.038127,-0.025193,0.016321,0.071382,0.130078,-0.075098,7
0.107908,0.213222,-0.049775,0.009886,-0.017076,0.012135,-0.019773,-0.020992,0.059752,0.083101,-0.070907,5
0.097844,0.20856,-0.036094,-0.013408,-0.012275,0.015673,0.002678,0.008954,0.071765,0.068711,-0.079724,5
0.07394,0.19048,-0.030929,-0.027722,-0.057554,-0.037858,-0.047784,0.031984,0.079757,0.103934,-0.073802,7
0.06461,0.249734,-0.063575,-0.025295,-0.032142,-0.060162,-0.05723,0.000982,0.097419,0.142767,-0.110533,6
0.101354,0.21736,-0.030296,-0.025193,-0.015162,-0.019783,-0.02164,-0.028376,0.084529,0.094804,-0.099148,6
0.062296,0.194213,-0.025456,-0.014873,-0.063369,-0.037561,-0.034958,-0.005307,0.070189,0.116837,-0.085682,6
0.093606,0.196321,-0.048237,-0.011413,-0.037249,0.029042,-0.02815,-0.029071,0.079381,0.122728,-0.100084,5
0.074779,0.212454,-0.039906,-0.047336,-0.016162,0.003343,-0.012299,-0.020632,0.120767,0.075399,-0.089888,6
