@relation 'vote-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-last-R2-Fyyyy-MM-dd\'T\'HH:mm:ss_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A17-N200-T1.0E-4'

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Class {democrat,republican}

@data
-0.020753,-0.007261,0.072287,0.107814,0.051695,0.161196,0.098089,-0.009936,0.064261,-0.032732,0.099058,-0.079193,0.113841,0.052572,-0.01106,-0.011076,republican
0.013118,-0.056716,-0.052506,-0.118286,-0.170368,-0.028596,0.029406,-0.018508,0.072573,-0.090295,-0.006268,-0.116008,-0.122643,-0.067257,-0.126343,0.0627,republican
0.062594,-0.023617,-0.031752,-0.225369,-0.205846,-0.125896,0.074652,0.095666,0.090982,-0.129354,-0.116815,0.011617,-0.227146,-0.033802,-0.095843,0.052414,democrat
0.121408,-0.006328,-0.068049,-0.233594,-0.091751,-0.1688,-0.057004,0.087216,0.039215,-0.203712,-0.099893,-0.161387,-0.108066,-0.120133,-0.187433,0.006769,democrat
-0.020344,0.016047,-0.026166,-0.092309,0.005436,-0.066978,0.09038,-0.003164,0.073444,-0.071488,-0.077255,-0.026673,-0.195946,-0.043618,-0.037401,0.033595,republican
-0.013588,0.00803,-0.034722,-0.090081,-0.000577,-0.097532,0.049298,-0.059831,-0.002507,-0.138728,-0.046048,-0.032381,-0.141821,-0.037606,-0.019183,0.030222,republican
0.174273,-0.033384,0.020603,-0.097373,0.048462,-0.093415,0.016538,0.083718,0.073778,-0.034104,-0.089627,0.005522,-0.102576,-0.145767,-0.199382,-0.0384,democrat
0.014741,0.04091,-0.042071,-0.105383,-0.089163,-0.017796,0.022485,0.08988,0.049096,-0.089455,-0.099849,0.029732,-0.146018,-0.002309,-0.062049,-0.030568,democrat
-0.05698,0.017774,0.017651,0.114839,0.061659,0.080653,-0.037763,-0.078799,0.066503,0.081637,0.035622,-0.051262,0.10579,0.084541,-0.002092,-0.049581,republican
0.043088,-0.004236,-0.059686,-0.136538,-0.081715,-0.025025,0.055864,0.098228,-0.009719,-0.108298,-0.062803,-0.027648,-0.087273,-0.037195,-0.053856,0.04502,democrat
-0.016457,-0.013474,-0.080569,-0.196759,-0.049812,-0.065095,-0.093201,0.08969,-0.108805,0.023017,-0.031072,-0.045959,-0.149219,-0.033685,-0.117783,0.105321,democrat
0.006761,0.069455,0.038837,-0.042366,-0.03182,-0.020044,0.113713,0.014578,0.040601,-0.061696,-0.165157,-0.012716,-0.249425,-0.070417,0.032619,0.013004,democrat
-0.015273,0.033449,-0.030744,-0.083094,-0.097847,-0.01965,-0.034148,0.035839,0.049809,-0.132766,-0.130999,-0.123908,-0.031085,0.045881,-0.110415,-0.050092,democrat
0.023719,0.000941,-0.073671,-0.114158,-0.087135,-0.047744,0.022384,0.065906,0.003991,-0.082363,-0.104817,-0.006213,-0.082591,-0.010041,-0.036412,0.018127,democrat
0.058555,-0.070015,-0.099594,-0.212572,-0.119071,-0.13941,0.05791,0.116112,0.012341,-0.139211,-0.168957,-0.024088,-0.165769,-0.071196,-0.081444,0.083207,democrat
0.056738,-0.064852,-0.029219,-0.078609,-0.074885,-0.077068,-0.005127,0.044531,-0.022733,-0.096724,-0.094628,0.020228,-0.070927,-0.038136,-0.03042,0.028884,democrat
0.060709,-0.053109,-0.048981,-0.124265,-0.07157,-0.039383,0.062599,0.103887,-0.007657,-0.078312,-0.075795,-0.029546,-0.07679,-0.058115,-0.047151,0.076433,democrat
0.043088,-0.004236,-0.059686,-0.136538,-0.081715,-0.025025,0.055864,0.098228,-0.009719,-0.108298,-0.062803,-0.027648,-0.087273,-0.037195,-0.053856,0.04502,democrat
0.002663,-0.031708,-0.067011,0.095863,0.022396,-0.044344,0.078789,0.090959,0.063261,-0.013039,-0.041341,-0.031175,0.001629,-0.016844,0.035685,-0.027175,republican
0.043088,-0.004236,-0.059686,-0.136538,-0.081715,-0.025025,0.055864,0.098228,-0.009719,-0.108298,-0.062803,-0.027648,-0.087273,-0.037195,-0.053856,0.04502,democrat
-0.046294,0.025956,-0.009164,0.09317,0.061943,0.073785,-0.012865,-0.066595,0.042564,0.091846,0.055209,0.008534,0.074796,0.06704,0.031557,-0.031177,republican
0.060303,-0.026319,-0.096313,-0.247225,-0.123797,-0.102332,0.084654,0.142775,-0.003431,-0.195132,-0.113949,-0.043625,-0.180935,-0.07743,-0.105593,0.078687,democrat
0.047759,-0.024882,0.002381,-0.069834,-0.076913,-0.04712,-0.005026,0.068505,0.022372,-0.103816,-0.08966,0.056173,-0.134354,-0.030404,-0.056056,-0.019811,democrat
-0.029079,0.003873,-0.045792,-0.017518,0.019861,-0.003521,0.015926,-0.022048,0.048852,0.005012,0.004062,-0.007444,-0.018866,0.026805,-0.02018,0.00249,republican
0.023719,0.000941,-0.073671,-0.114158,-0.087135,-0.047744,0.022384,0.065906,0.003991,-0.082363,-0.104817,-0.006213,-0.082591,-0.010041,-0.036412,0.018127,democrat
-0.046294,0.025956,-0.009164,0.09317,0.061943,0.073785,-0.012865,-0.066595,0.042564,0.091846,0.055209,0.008534,0.074796,0.06704,0.031557,-0.031177,republican
-0.027528,0.007921,-0.022131,0.04142,0.028042,0.039218,-0.046808,-0.01125,0.035235,-0.04954,-0.005767,0.051402,-0.101377,-0.024386,-0.059433,-0.075736,republican
-0.023261,-0.006945,-0.114294,-0.0123,0.028249,0.017367,0.012236,0.004013,-0.005023,0.012107,-0.01433,0.046915,-0.070125,-0.042444,0.000565,0.012018,republican
-0.030896,0.009036,0.024584,0.116446,0.064047,0.05882,-0.047111,-0.093629,0.013778,0.047499,0.078391,0.036873,0.075976,0.059865,0.030844,-0.051833,republican
0.084749,-0.078933,0.02707,-0.07994,-0.061348,-0.038759,0.035189,0.106486,0.010723,-0.099765,-0.060638,0.032841,-0.128553,-0.078478,-0.066795,0.038495,democrat
0.071522,-0.018924,-0.076884,-0.27492,-0.041736,-0.090934,0.130079,0.205661,-0.020743,-0.234902,-0.081129,-0.059383,-0.167404,-0.082498,-0.121369,0.096553,democrat
0.040934,-0.021142,-0.110298,-0.224846,-0.129217,-0.125051,0.051175,0.110453,0.010279,-0.169197,-0.155964,-0.02219,-0.176253,-0.050276,-0.088149,0.051794,democrat
0.033191,-0.035359,-0.057523,-0.1072,-0.000348,-0.073425,0.041065,0.102128,0.002451,-0.066212,-0.127005,-0.002433,-0.053894,-0.008874,-0.02804,0.040513,democrat
0.041341,-0.047931,-0.062967,-0.101885,-0.076989,-0.062103,0.029119,0.071565,0.006053,-0.052377,-0.11781,-0.008111,-0.072107,-0.030961,-0.029707,0.04954,democrat
0.052153,-0.013747,-0.09087,-0.25254,-0.047156,-0.113654,0.0966,0.173339,-0.007033,-0.208967,-0.123144,-0.037948,-0.162721,-0.055344,-0.103926,0.06966,democrat
0.12487,0.012278,-0.128762,-0.262473,-0.114093,-0.132468,0.095932,0.142876,0.0453,-0.201448,-0.104494,-0.055194,-0.15382,-0.12562,-0.093504,0.048949,democrat
0.01557,0.013514,-0.068227,-0.119473,-0.010494,-0.059067,0.03433,0.096469,0.000389,-0.096198,-0.114012,-0.000535,-0.064377,0.012046,-0.034746,0.0091,democrat
0.114973,-0.018845,-0.126599,-0.233135,-0.032726,-0.180868,0.081134,0.146776,0.057469,-0.159362,-0.168697,-0.029979,-0.120441,-0.097299,-0.067689,0.044442,democrat
-0.066119,0.018078,-0.021828,-0.089377,-0.000658,-0.03067,0.06188,0.041071,-0.077202,-0.102443,-0.145613,-0.026266,-0.121966,0.043235,0.006612,0.053558,democrat
-0.063915,0.074829,-0.019869,0.080897,0.051797,0.088144,-0.0196,-0.072254,0.040502,0.06186,0.068202,0.010431,0.064313,0.08796,0.024852,-0.06259,republican
0.043088,-0.004236,-0.059686,-0.136538,-0.081715,-0.025025,0.055864,0.098228,-0.009719,-0.108298,-0.062803,-0.027648,-0.087273,-0.037195,-0.053856,0.04502,democrat
-0.049937,0.014196,-0.058531,0.082247,0.000281,-0.123,0.115179,0.023008,-0.0704,0.074051,-0.006986,-0.008458,-0.007349,0.090224,-0.107758,-0.047331,republican
0.049084,-0.033715,-0.115742,-0.219531,-0.205858,-0.113729,0.039229,0.07989,0.013881,-0.155362,-0.146769,-0.027868,-0.194466,-0.072363,-0.089816,0.060821,democrat
-0.035764,-0.009965,-0.017103,0.143333,0.072153,0.086577,-0.075699,-0.079772,-0.016157,0.044385,0.040412,0.031435,0.055712,0.008116,0.01794,-0.060708,republican
-0.070348,0.000528,-0.022406,-0.236659,-0.011626,-0.11294,-0.014723,0.168161,-0.057862,-0.173547,-0.131509,-0.157675,-0.226745,-0.005834,-0.054292,0.128724,democrat
-0.011528,0.003859,0.038569,0.094066,0.069467,0.08154,-0.013631,-0.061307,0.000068,0.021564,0.120406,0.015438,0.071294,0.03271,0.013401,-0.02494,republican
0.005687,-0.018224,0.001941,-0.016621,0.027385,0.004233,0.015159,-0.016759,0.006356,-0.065269,0.069259,-0.00054,-0.022368,-0.007525,-0.038336,0.008727,republican
-0.013681,-0.013047,-0.012044,0.005759,0.021965,-0.018486,-0.018321,-0.049082,0.020066,-0.039334,0.027244,0.020895,-0.017686,0.01963,-0.020893,-0.018166,republican
-0.013681,-0.013047,-0.012044,0.005759,0.021965,-0.018486,-0.018321,-0.049082,0.020066,-0.039334,0.027244,0.020895,-0.017686,0.01963,-0.020893,-0.018166,republican
0.003533,-0.03513,-0.048672,-0.104929,-0.020117,-0.095793,0.01047,-0.004534,0.026354,-0.126168,-0.023903,0.004918,-0.111348,-0.020605,-0.07263,0.015501,republican
0.061354,-0.008703,-0.129882,-0.277039,-0.085505,-0.210223,-0.120858,0.074982,-0.068862,-0.088545,-0.091596,-0.023731,-0.209903,-0.102131,-0.1407,0.061702,democrat
-0.046294,0.025956,-0.009164,0.09317,0.061943,0.073785,-0.012865,-0.066595,0.042564,0.091846,0.055209,0.008534,0.074796,0.06704,0.031557,-0.031177,republican
0.032785,-0.008569,-0.104855,-0.23016,-0.052576,-0.136373,0.06312,0.141016,0.006677,-0.183032,-0.165159,-0.016513,-0.158039,-0.028189,-0.086483,0.042767,democrat
0.034939,0.008337,-0.054242,-0.141853,-0.005074,-0.036347,0.067809,0.128791,-0.013321,-0.122133,-0.071997,-0.02197,-0.069059,-0.015108,-0.052189,0.035993,democrat
0.013567,-0.008029,-0.000611,-0.098515,-0.00564,-0.022611,0.018013,0.104383,0.034558,-0.14255,-0.111172,-0.141563,-0.00707,0.019893,-0.119487,-0.000814,democrat
-0.066585,-0.011914,-0.065563,0.011221,0.03314,0.024787,-0.057744,0.058452,0.046917,-0.008729,-0.011687,-0.032142,-0.059144,-0.001784,0.03476,0.011342,republican
-0.042349,0.00191,-0.009892,-0.038045,0.030454,0.01975,0.004323,0.076917,0.063142,-0.03155,0.068307,-0.04814,-0.043562,0.02281,0.030221,0.04711,republican
-0.030896,0.009036,0.024584,0.116446,0.064047,0.05882,-0.047111,-0.093629,0.013778,0.047499,0.078391,0.036873,0.075976,0.059865,0.030844,-0.051833,republican
0.014741,0.04091,-0.042071,-0.105383,-0.089163,-0.017796,0.022485,0.08988,0.049096,-0.089455,-0.099849,0.029732,-0.146018,-0.002309,-0.062049,-0.030568,democrat
0.023719,0.000941,-0.073671,-0.114158,-0.087135,-0.047744,0.022384,0.065906,0.003991,-0.082363,-0.104817,-0.006213,-0.082591,-0.010041,-0.036412,0.018127,democrat
0.067198,-0.078918,-0.05729,-0.191524,-0.110954,-0.12382,0.064746,0.145746,0.059506,-0.116317,-0.176982,0.009959,-0.218713,-0.084384,-0.100375,0.065925,democrat
0.025641,0.075922,-0.037995,-0.012168,0.029457,-0.039467,0.05122,0.04183,-0.050777,-0.159498,-0.025644,0.006998,-0.021309,-0.028843,0.012274,0.097276,republican
0.060303,-0.026319,-0.096313,-0.247225,-0.123797,-0.102332,0.084654,0.142775,-0.003431,-0.195132,-0.113949,-0.043625,-0.180935,-0.07743,-0.105593,0.078687,democrat
-0.003218,-0.018815,-0.001933,-0.011401,0.020634,-0.026472,0.025769,0.047379,0.082426,-0.106801,-0.061672,0.079813,-0.012918,-0.102718,0.093017,0.041748,republican
0.061497,-0.012189,-0.027949,-0.123875,-0.029121,-0.091191,-0.001712,0.017337,-0.090481,-0.07272,-0.054166,-0.053446,-0.123498,-0.104631,-0.020336,0.085779,democrat
-0.043235,0.038833,0.063529,0.013409,0.055811,0.054637,0.017221,-0.055325,-0.011608,0.006668,0.071369,0.09758,0.061326,-0.014279,0.027657,0.039728,democrat
-0.011916,-0.054861,0.048541,-0.277859,-0.041523,-0.106693,0.071075,0.026196,0.004718,-0.19675,-0.095828,-0.032099,-0.172047,-0.08769,-0.121194,0.021441,democrat
0.017433,0.052326,0.014899,-0.040976,0.01336,-0.105677,0.082017,-0.000352,0.007725,-0.062171,0.004567,0.009731,0.031532,-0.053493,-0.089429,0.000344,democrat
-0.023314,-0.043596,0.016667,-0.161953,0.008948,-0.008498,0.038595,0.00771,-0.055444,-0.102822,-0.063073,0.038237,-0.129643,-0.116704,-0.048712,-0.002698,democrat
-0.015786,-0.054516,0.061954,0.166454,0.053389,0.079565,0.028518,-0.083751,0.041018,0.014986,0.044805,0.049915,0.103875,0.061285,0.063468,-0.035702,republican
0.040508,-0.024704,-0.046303,-0.195829,-0.000265,-0.195671,-0.019354,0.047922,-0.050146,-0.157662,-0.176109,-0.102107,-0.16327,-0.078124,-0.086611,0.065123,democrat
0.104717,0.016119,-0.001473,-0.085035,0.036137,-0.090678,0.065507,0.040016,0.003765,-0.165579,-0.094085,-0.104193,-0.029759,-0.090893,-0.01431,0.01333,democrat
0.00394,-0.06192,-0.00134,0.018032,0.032111,-0.032845,-0.011585,-0.043423,0.022127,-0.009348,0.014251,0.018998,-0.007202,-0.00129,-0.014188,0.013247,republican
-0.028673,-0.022917,0.00154,0.105443,0.072088,0.059427,-0.00613,-0.060936,0.044625,0.121832,0.042216,0.006636,0.085279,0.04612,0.038262,0.000235,republican
-0.048517,0.057909,0.013879,0.104173,0.053902,0.073179,-0.053846,-0.099288,0.011717,0.017513,0.091384,0.03877,0.065493,0.080785,0.024139,-0.083246,republican
-0.01151,-0.08165,0.095873,-0.154898,0.010705,-0.043744,0.04902,-0.012692,0.000492,-0.079931,-0.057674,-0.018019,-0.067901,-0.068375,-0.062752,0.019187,democrat
-0.013275,-0.039837,0.035288,0.12872,0.074193,0.044462,-0.040376,-0.08797,0.01584,0.077485,0.065398,0.034975,0.08646,0.038945,0.037549,-0.02042,republican
-0.028673,-0.022917,0.00154,0.105443,0.072088,0.059427,-0.00613,-0.060936,0.044625,0.121832,0.042216,0.006636,0.085279,0.04612,0.038262,0.000235,republican
0.013483,0.017216,0.04782,-0.202236,0.01572,-0.065838,0.033379,0.060596,0.051222,-0.116652,0.006591,0.012845,-0.102277,-0.089986,0.044125,-0.005833,democrat
0.010469,-0.092186,-0.011152,-0.070987,-0.010255,-0.103283,-0.007693,-0.011079,0.052355,-0.10639,-0.056483,-0.056776,-0.06987,-0.024024,-0.099574,0.02851,republican
0.056738,-0.064852,-0.029219,-0.078609,-0.074885,-0.077068,-0.005127,0.044531,-0.022733,-0.096724,-0.094628,0.020228,-0.070927,-0.038136,-0.03042,0.028884,democrat
0.076107,-0.070029,-0.015233,-0.100988,-0.069465,-0.054349,0.028353,0.076853,-0.036443,-0.122659,-0.052613,-0.001207,-0.075609,-0.06529,-0.047864,0.055777,democrat
-0.040324,0.026568,0.034411,-0.068318,-0.050235,-0.013332,0.087996,-0.039501,-0.144956,-0.171449,-0.093366,-0.062339,-0.174155,-0.030182,0.040236,0.083543,democrat
0.086536,-0.07519,-0.008864,-0.150871,-0.059676,0.005391,-0.021274,0.054325,0.023183,-0.157178,-0.04709,-0.0007,-0.081368,-0.097,-0.004075,0.080687,democrat
-0.03198,-0.104628,-0.076616,-0.186472,-0.016088,-0.044461,0.000433,0.033745,-0.029192,-0.012889,-0.111094,0.032687,-0.032241,-0.073106,-0.058367,0.025039,democrat
0.065485,0.017287,0.020427,-0.01914,-0.032732,-0.148733,0.185307,0.005025,0.023398,0.031668,-0.151535,-0.144672,-0.094235,-0.180682,-0.139143,-0.090266,democrat
-0.069301,-0.037938,0.113901,-0.237163,-0.005338,-0.048814,0.089219,0.00812,0.041541,-0.060689,-0.14948,-0.024012,-0.048055,-0.090688,-0.081432,0.086107,democrat
-0.00458,-0.107142,-0.044794,-0.109887,0.030089,-0.017859,-0.012541,0.0566,-0.084812,-0.081253,0.022812,-0.039315,-0.107256,-0.071788,0.06416,0.01746,democrat
0.033479,0.011274,-0.061145,-0.133931,0.012415,-0.109135,-0.06881,0.065216,-0.053574,-0.078046,-0.070237,0.012864,-0.080612,-0.017469,-0.061378,0.003726,democrat
0.025462,-0.050191,0.063258,0.08396,0.085032,0.089901,0.026583,-0.023325,-0.011581,0.025615,0.149428,-0.007895,0.077095,-0.015364,0.002662,0.033366,republican
0.001975,-0.101619,-0.073641,-0.113347,0.022528,0.003422,0.041889,0.004787,-0.060087,-0.036488,-0.042187,-0.10819,-0.057429,-0.070272,-0.03662,0.001985,democrat
-0.062371,-0.063431,-0.026766,-0.192153,0.014045,-0.022929,0.027659,0.077413,-0.043762,-0.062011,-0.068994,-0.045308,-0.08741,-0.094101,0.045481,0.08438,democrat
0.10077,-0.029796,-0.09143,-0.306973,-0.077152,-0.133596,0.073895,0.121232,0.110754,-0.124748,-0.10006,-0.056052,-0.197999,-0.26599,-0.002676,0.050317,democrat
0.056233,-0.007699,-0.109769,-0.018111,-0.064054,0.014617,-0.086982,0.012482,0.084061,0.080272,0.068293,-0.083995,-0.012302,-0.114617,0.222742,-0.046139,democrat
0.000921,0.152446,-0.077066,-0.114736,0.018623,-0.077903,0.000891,0.141461,-0.035756,-0.225535,-0.070501,0.045427,-0.122691,-0.181635,-0.129029,0.22903,democrat
0.075727,-0.00745,-0.081601,-0.13839,-0.086889,-0.025577,0.100945,0.031585,-0.037719,-0.097671,-0.085033,-0.008387,-0.067259,-0.060355,-0.1217,0.027293,democrat
-0.029079,0.003873,-0.045792,-0.017518,0.019861,-0.003521,0.015926,-0.022048,0.048852,0.005012,0.004062,-0.007444,-0.018866,0.026805,-0.02018,0.00249,republican
-0.038728,0.110813,0.062873,-0.08157,-0.178235,-0.271348,-0.007935,0.166079,0.110786,-0.13663,0.089546,-0.021088,-0.009062,-0.193759,-0.119797,0.033098,republican
0.023313,0.027731,-0.121002,-0.237119,-0.139362,-0.110692,0.044439,0.104794,0.008218,-0.199183,-0.142971,-0.020293,-0.186736,-0.029356,-0.094854,0.020381,democrat
0.023313,0.027731,-0.121002,-0.237119,-0.139362,-0.110692,0.044439,0.104794,0.008218,-0.199183,-0.142971,-0.020293,-0.186736,-0.029356,-0.094854,0.020381,democrat
0.061606,-0.045851,0.012468,-0.105495,-0.08299,-0.104824,0.023461,0.030674,0.007202,-0.09361,-0.056649,0.025666,-0.050663,0.013612,-0.017516,0.037759,democrat
-0.031302,0.035826,-0.022748,-0.006515,0.011819,-0.004128,-0.025056,-0.054741,0.018005,-0.06932,0.040237,0.022793,-0.028169,0.04055,-0.027598,-0.049579,republican
-0.018477,0.005894,-0.039785,-0.263216,-0.134264,-0.158381,-0.04139,0.059584,-0.064541,-0.1716,-0.070672,0.010112,-0.209822,0.041067,-0.120671,0.05362,democrat
-0.048517,0.057909,0.013879,0.104173,0.053902,0.073179,-0.053846,-0.099288,0.011717,0.017513,0.091384,0.03877,0.065493,0.080785,0.024139,-0.083246,republican
0.023313,0.027731,-0.121002,-0.237119,-0.139362,-0.110692,0.044439,0.104794,0.008218,-0.199183,-0.142971,-0.020293,-0.186736,-0.029356,-0.094854,0.020381,democrat
-0.043611,-0.019418,0.000668,-0.217037,-0.114312,-0.13765,-0.022467,0.101369,-0.005536,-0.084069,0.098339,-0.125434,0.050022,-0.07896,-0.121475,-0.112876,democrat
0.060709,-0.053109,-0.048981,-0.124265,-0.07157,-0.039383,0.062599,0.103887,-0.007657,-0.078312,-0.075795,-0.029546,-0.07679,-0.058115,-0.047151,0.076433,democrat
-0.111489,0.000199,0.012879,-0.010033,-0.001603,0.039856,0.017103,0.05645,0.084359,-0.096333,-0.100904,0.005144,-0.020702,-0.008933,0.041287,0.042325,republican
0.095992,-0.005369,-0.006166,-0.142,-0.09289,-0.068298,0.095287,-0.009306,-0.036569,-0.138904,-0.023871,0.02539,-0.045815,-0.015781,-0.109509,0.015512,democrat
-0.028673,-0.022917,0.00154,0.105443,0.072088,0.059427,-0.00613,-0.060936,0.044625,0.121832,0.042216,0.006636,0.085279,0.04612,0.038262,0.000235,republican
-0.099789,0.064264,0.069917,-0.113863,-0.169341,-0.021552,-0.03704,-0.12831,0.049737,-0.09186,-0.078621,0.05613,-0.022543,-0.062601,-0.069716,0.061004,republican
-0.031302,0.035826,-0.022748,-0.006515,0.011819,-0.004128,-0.025056,-0.054741,0.018005,-0.06932,0.040237,0.022793,-0.028169,0.04055,-0.027598,-0.049579,republican
-0.004703,-0.053016,-0.043644,-0.003016,0.023993,-0.048434,-0.018421,-0.073056,-0.025038,-0.032243,0.022276,-0.01505,0.045742,0.011898,0.004743,0.030529,republican
-0.061997,0.038906,-0.104552,0.046978,0.008031,-0.021146,0.030229,0.008678,-0.04277,0.006431,-0.026448,-0.011491,-0.043855,0.027686,-0.083578,-0.062709,republican
0.010966,0.068815,-0.042688,-0.153318,-0.105386,-0.061142,0.044237,0.046389,0.031865,-0.109235,-0.053845,0.001122,-0.07281,0.062627,-0.030214,-0.004411,democrat
-0.031302,0.035826,-0.022748,-0.006515,0.011819,-0.004128,-0.025056,-0.054741,0.018005,-0.06932,0.040237,0.022793,-0.028169,0.04055,-0.027598,-0.049579,republican
-0.063915,0.074829,-0.019869,0.080897,0.051797,0.088144,-0.0196,-0.072254,0.040502,0.06186,0.068202,0.010431,0.064313,0.08796,0.024852,-0.06259,republican
0.028611,0.089878,0.018995,-0.137574,-0.078322,-0.055127,0.082298,-0.00362,-0.039491,-0.192077,-0.010793,-0.029273,-0.106785,0.011297,0.005077,0.016547,democrat
0.016315,0.019586,-0.011088,-0.17676,-0.091936,-0.058907,0.00838,-0.019285,-0.112539,-0.100074,0.000259,0.023916,-0.100829,0.030988,-0.154222,0.029119,democrat
0.09157,0.076548,-0.006472,-0.149796,-0.132607,-0.014874,0.123674,0.077098,0.087684,-0.246398,-0.177785,-0.211942,-0.312309,-0.231064,-0.130489,0.002653,democrat
-0.064028,-0.016863,-0.192995,-0.322693,-0.160666,-0.231411,-0.00518,0.146571,-0.020857,-0.057384,-0.058825,-0.012726,-0.117709,-0.144461,-0.083219,-0.084408,democrat
0.071485,0.021348,-0.01672,-0.135549,0.028821,-0.153541,0.050424,-0.064922,-0.078439,-0.046879,-0.089626,-0.001634,-0.060324,-0.0268,-0.056166,0.041007,democrat
0.021154,-0.084003,-0.037968,-0.092655,-0.009972,-0.110152,0.017205,0.001125,0.028415,-0.096182,-0.036896,0.00302,-0.100864,-0.041525,-0.065925,0.046914,republican
0.00394,-0.06192,-0.00134,0.018032,0.032111,-0.032845,-0.011585,-0.043423,0.022127,-0.009348,0.014251,0.018998,-0.007202,-0.00129,-0.014188,0.013247,republican
0.005757,-0.067083,-0.071716,-0.115932,-0.012076,-0.095186,0.051451,0.028159,0.057201,-0.051835,-0.060078,-0.025319,-0.102045,-0.03435,-0.065212,0.067569,republican
-0.013275,-0.039837,0.035288,0.12872,0.074193,0.044462,-0.040376,-0.08797,0.01584,0.077485,0.065398,0.034975,0.08646,0.038945,0.037549,-0.02042,republican
0.022809,-0.061385,-0.012009,-0.031469,0.007845,0.005972,-0.023669,0.038538,0.035217,-0.052709,0.091404,0.036759,0.008105,0.009476,-0.091783,-0.005994,republican
0.011754,0.109735,-0.021656,-0.152929,-0.062938,-0.11295,-0.020074,-0.040161,-0.050959,-0.103643,-0.032215,-0.022778,-0.119518,0.016112,-0.003399,0.004936,democrat
0.038846,0.024562,0.005195,-0.133697,0.033995,-0.152989,0.005342,0.001721,-0.050438,-0.057506,-0.067396,-0.020895,-0.080338,-0.003641,0.011678,0.058735,democrat
0.043852,-0.033252,-0.089633,-0.139619,-0.056185,-0.097206,-0.039774,0.067346,-0.019125,0.010122,-0.097217,-0.02305,-0.089523,-0.053301,-0.055626,0.064821,democrat
0.079796,0.015532,-0.009062,0.075636,0.048134,-0.068677,0.053946,0.037164,0.029831,-0.052464,0.017927,0.043674,-0.05985,0.045441,0.049787,0.047124,republican
0.041738,-0.040093,-0.02913,0.065148,-0.116084,-0.099524,-0.019654,-0.015277,0.046437,0.035898,0.058803,-0.023694,-0.030769,-0.038785,0.018623,-0.00562,republican
